Jobblue-collar,Jobstudent,Jobtechnician,Jobadmin.,Jobservices,Jobself-employed,Jobretired,Jobhousemaid,Jobentrepreneur,Jobunemployed,Maritalmarried,Maritaldivorced,Educationprimary,Educationsecondary,Communicationcellular,Outcomefailure,Outcomeother,Outcomesuccess,Default1,HHInsurance0,CarLoan1,Age,Balance,NoOfContacts,DaysPassed,PrevAttempts,CallDuration,CarInsurance_Target
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1218,2,-1,0,70,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29,637,1,119,1,340,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,25,373,2,-1,0,819,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,30,2694,1,-1,0,192,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,32,1625,1,109,1,796,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,1000,1,-1,0,195,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,30,187,1,-1,0,106,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,30,3,2,-1,0,326,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,27,0,1,-1,0,181,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,53,-462,1,-1,0,470,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,44,2776,1,-1,0,701,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,61,2,1,114,3,131,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,34,69,3,362,4,92,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,46,7331,4,95,2,658,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,49,2039,1,169,2,451,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,50,82,1,-1,0,456,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,80,8304,3,91,13,606,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,31,0,2,-1,0,218,0
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,63,2896,1,119,2,304,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,60,824,1,558,7,127,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,29,900,2,-1,0,275,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,54,3859,3,-1,0,104,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,54,0,3,84,3,766,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,32,6981,1,194,3,154,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,57,842,3,-1,0,284,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,36,1057,2,-1,0,383,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,39,300,1,-1,0,506,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,33,0,5,-1,0,41,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,41,138,3,-1,0,640,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,35,216,3,-1,0,70,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,35,2707,1,-1,0,699,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,40,2574,1,176,1,432,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,60,70,1,-1,0,36,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,42,283,1,-1,0,761,1
0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,79,79,2,-1,0,1106,1
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,33,464,4,-1,0,207,0
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,47,4420,1,-1,0,454,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,31,326,1,-1,0,124,0
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,39,52,3,-1,0,1420,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,31,457,1,171,5,283,0
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,46,1187,1,327,1,92,0
0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,52,5091,1,-1,0,309,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,36,0,4,-1,0,81,0
0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,39,11887,2,-1,0,1181,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,18,608,1,-1,0,267,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,36,0,4,-1,0,1002,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,57,473,1,-1,0,295,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,28,1955,1,-1,0,25,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,30,860,1,-1,0,185,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,41,2689,1,-1,0,135,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,23,66,2,-1,0,1391,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,25,1298,7,94,2,206,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,45,0,4,-1,0,58,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,55,3450,1,183,1,169,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,32,903,1,320,1,181,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,34,11350,1,176,1,153,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,37,143,6,-1,0,57,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,47,802,2,-1,0,289,1
0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,49,518,2,-1,0,1917,1
0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,34,0,1,-1,0,268,0
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,33,210,2,-1,0,1207,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,40,60,3,352,6,460,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,41,663,1,-1,0,1204,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,46,1263,2,-1,0,220,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,44,446,12,-1,0,63,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,48,657,2,-1,0,251,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,39,48,1,-1,0,539,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,46,3969,5,-1,0,46,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,19,103,2,95,4,177,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,36,753,4,-1,0,76,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,46,9299,1,276,2,1148,1
0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,56,9367,2,-1,0,617,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,57,7162,1,-1,0,83,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,33,1699,1,-1,0,600,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,41,437,1,-1,0,138,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,31,69,2,-1,0,195,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,52,388,1,-1,0,272,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,48,339,4,-1,0,123,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,55,49,4,-1,0,494,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,50,3370,2,-1,0,160,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,31,2667,2,-1,0,73,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,31,1331,1,86,3,297,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,37,4151,4,-1,0,543,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,62,569,5,184,1,94,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,33,1514,1,728,2,447,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,40,0,5,-1,0,165,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,37,6101,1,-1,0,141,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,46,461,2,-1,0,369,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,64,2331,1,-1,0,201,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,57,3109,2,105,2,107,1
0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,58,11,5,-1,0,161,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,32,53,2,-1,0,671,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,43,699,2,122,2,1258,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,30,3300,1,-1,0,1571,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,45,251,2,-1,0,102,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,56,318,3,-1,0,246,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,61,5157,1,-1,0,432,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,37,1762,1,317,1,309,0
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,56,343,1,-1,0,77,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,46,368,1,90,4,293,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,39,1968,1,-1,0,648,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,27,302,1,-1,0,203,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,33,60,1,290,2,74,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,52,0,3,94,4,145,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,45,3092,2,-1,0,180,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,30,1058,1,-1,0,515,0
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,46,53,3,-1,0,31,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,32,-402,1,-1,0,135,0
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,62,3904,2,-1,0,403,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,24,1123,1,412,1,475,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,47,159,3,155,3,220,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,36,391,1,350,8,185,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,73,7111,1,-1,0,146,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,57,3109,2,-1,0,482,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,25,129,3,-1,0,176,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,62,569,1,1,8,288,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,56,1521,2,179,3,19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33,8038,1,-1,0,60,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,63,641,2,-1,0,417,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,60,208,4,-1,0,70,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,61,52587,3,189,1,394,1
0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,58,729,2,-1,0,60,0
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,46,273,2,-1,0,565,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,28,2840,5,-1,0,227,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,36,2921,7,-1,0,55,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,44,16178,1,-1,0,297,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,54,0,1,290,3,362,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,38,557,4,-1,0,1556,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,4348,8,-1,0,373,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,29,1579,1,92,5,190,1
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,50,0,1,120,2,159,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,60,108,1,-1,0,624,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,36,-27,4,-1,0,151,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,45,205,1,90,2,552,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,30,985,1,94,2,304,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,31,3739,3,-1,0,117,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,28,6784,1,115,3,502,1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,34,0,11,-1,0,730,1
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,51,113,3,-1,0,71,0
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,49,0,1,-1,0,106,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,33,3143,2,-1,0,421,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,53,53,1,-1,0,387,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,45,1447,2,-1,0,461,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,36,6385,2,-1,0,70,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,43,3186,1,88,1,380,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,31,290,1,291,3,148,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,56,8163,4,-1,0,1231,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,40,431,2,-1,0,180,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,60,711,4,-1,0,355,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,45,0,2,-1,0,113,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,55,4,1,-1,0,1048,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,41,3658,1,330,1,268,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,46,699,1,87,1,970,1
